0x0L,push    rbp
0x3baL,mov     byte ptr [rax], 2Eh ; '.'
0x3bdL,mov     rax, [rbp+dest]
0x3c1L,lea     rdx, [rax+1]
0x3c5L,mov     [rbp+dest], rdx
0x3c9L,mov     byte ptr [rax], 7Eh ; '~'
0x3ccL,mov     rax, [rbp+dest]
0x3d0L,mov     byte ptr [rax], 30h ; '0'
0x3d3L,movzx   eax, [rbp+var_21]
0x3d7L,add     [rbp+dest], rax
0x3dbL,mov     rax, [rbp+n]
0x3dfL,lea     rdx, [rax+2]    ; n
0x3e3L,mov     rcx, [rbp+s2]
0x3e7L,mov     rax, [rbp+dest]
0x3ebL,mov     rsi, rcx        ; src
0x3eeL,mov     rdi, rax        ; dest
0x3f1L,call    memcpy
0x3f6L,mov     rax, [rbp+n]
0x3faL,add     [rbp+dest], rax
0x3feL,jmp     short loc_407
0x400L,mov     rax, [rbp+dest]
0x404L,mov     byte ptr [rax], 30h ; '0'
0x407L,sub     [rbp+dest], 1
0x40cL,mov     rax, [rbp+dest]
0x410L,movzx   eax, byte ptr [rax]
0x413L,cmp     al, 39h ; '9'
0x415L,jz      short loc_400
0x417L,mov     rax, [rbp+dest]
0x41bL,movzx   eax, byte ptr [rax]
0x41eL,add     eax, 1
0x421L,mov     edx, eax
0x423L,mov     rax, [rbp+dest]
0x427L,mov     [rax], dl
0x429L,mov     rax, [rbp+dirp]
0x42dL,mov     rdi, rax        ; dirp
0x430L,call    readdir
0x435L,mov     [rbp+var_58], rax
0x439L,cmp     [rbp+var_58], 0
0x43eL,jnz     loc_1D6
0x444L,mov     rax, [rbp+dirp]
0x448L,mov     rdi, rax        ; dirp
0x44bL,call    closedir
0x450L,mov     rax, [rbp+var_78]
0x454L,mov     rdx, [rbp+name]
0x458L,mov     [rax], rdx
0x45bL,mov     eax, [rbp+var_4]
0x45eL,leave
0x45fL,retn
0x460L,push    rbp
0x461L,mov     rbp, rsp
0x464L,sub     rsp, 40h
0x468L,mov     [rbp+s], rdi
0x46cL,mov     [rbp+var_3C], esi
0x46fL,mov     rax, [rbp+s]
0x473L,mov     rdi, rax        ; s
0x476L,call    strlen
0x47bL,mov     [rbp+var_18], rax
0x47fL,mov     [rbp+var_1], 1
0x483L,mov     rax, cs:simple_backup_suffix
0x48aL,mov     rdi, rax        ; s
0x48dL,call    strlen
0x492L,add     rax, 1
0x496L,mov     [rbp+n], rax
0x49aL,mov     rax, [rbp+n]
0x49eL,mov     [rbp+var_10], rax
0x4a2L,cmp     [rbp+var_10], 8
0x4a7L,ja      short loc_4B1
0x4a9L,mov     [rbp+var_10], 9
0x4b1L,mov     rdx, [rbp+var_18]
0x4b5L,mov     rax, [rbp+var_10]
0x4b9L,add     rax, rdx
0x4bcL,add     rax, 1
0x4c0L,mov     [rbp+var_28], rax
0x4c4L,mov     rax, [rbp+var_28]
0x4c8L,mov     rdi, rax
0x4cbL,call    xmalloc
0x4d0L,mov     [rbp+dest], rax
0x4d4L,mov     rax, [rbp+var_18]
0x4d8L,lea     rdx, [rax+1]    ; n
0x4dcL,mov     rax, [rbp+dest]
0x4e0L,mov     rcx, [rbp+s]
0x4e4L,mov     rsi, rcx        ; src
0x4e7L,mov     rdi, rax        ; dest
0x4eaL,call    memcpy
0x4efL,cmp     [rbp+var_3C], 1
0x4f3L,jz      short loc_534
0x4f5L,mov     rdx, [rbp+var_18]
0x4f9L,mov     rcx, [rbp+var_28]
0x4fdL,lea     rax, [rbp+dest]
0x501L,mov     rsi, rcx
0x504L,mov     rdi, rax
0x507L,call    numbered_backup
0x50cL,cmp     eax, 1
0x50fL,jz      short loc_523
0x511L,cmp     eax, 1
0x514L,jb      short loc_51D
0x516L,cmp     eax, 2
0x519L,jz      short loc_529
0x51bL,jmp     short loc_534
0x51dL,mov     rax, [rbp+dest]
0x521L,jmp     short locret_577
0x523L,mov     [rbp+var_1], 0
0x527L,jmp     short loc_534
0x529L,cmp     [rbp+var_3C], 2
0x52dL,setz    al
0x530L,mov     [rbp+var_1], al
0x533L,nop
0x534L,cmp     [rbp+var_1], 0
0x538L,jz      short loc_55B
0x53aL,mov     rax, cs:simple_backup_suffix
0x541L,mov     rcx, [rbp+dest]
0x545L,mov     rdx, [rbp+var_18]
0x549L,add     rcx, rdx
0x54cL,mov     rdx, [rbp+n]    ; n
0x550L,mov     rsi, rax        ; src
0x553L,mov     rdi, rcx        ; dest
0x556L,call    memcpy
0x55bL,mov     rax, [rbp+dest]
0x55fL,mov     rcx, [rbp+var_18]
0x563L,mov     edx, 7Eh ; '~'
0x568L,mov     rsi, rcx
0x56bL,mov     rdi, rax
0x56eL,call    check_extension
0x573L,mov     rax, [rbp+dest]
0x577L,leave
0x578L,retn
0x579L,push    rbp
0x57aL,mov     rbp, rsp
0x57dL,sub     rsp, 10h
0x581L,mov     [rbp+var_8], rdi
0x585L,mov     [rbp+var_10], rsi
0x589L,cmp     [rbp+var_10], 0
0x58eL,jz      short loc_59B
0x590L,mov     rax, [rbp+var_10]
0x594L,movzx   eax, byte ptr [rax]
0x597L,test    al, al
0x599L,jnz     short loc_5A2
0x59bL,mov     eax, 2
0x5a0L,jmp     short locret_5D3
0x5a2L,mov     rdx, qword ptr cs:argmatch_die
0x5a9L,mov     rsi, [rbp+var_10]
0x5adL,mov     rax, [rbp+var_8]
0x5b1L,mov     r9, rdx
0x5b4L,mov     r8d, 4
0x5baL,mov     ecx, offset backup_types
0x5bfL,mov     edx, offset backup_args
0x5c4L,mov     rdi, rax
0x5c7L,call    __xargmatch_internal
0x5ccL,mov     eax, ds:backup_types[rax*4]
0x5d3L,leave
0x5d4L,retn
0x5d5L,push    rbp
0x5d6L,mov     rbp, rsp
0x5d9L,sub     rsp, 10h
0x5ddL,mov     [rbp+var_8], rdi
0x5e1L,mov     [rbp+var_10], rsi
0x5e5L,cmp     [rbp+var_10], 0
0x5eaL,jz      short loc_60C
0x5ecL,mov     rax, [rbp+var_10]
0x5f0L,movzx   eax, byte ptr [rax]
0x5f3L,test    al, al
0x5f5L,jz      short loc_60C
0x5f7L,mov     rdx, [rbp+var_10]
0x5fbL,mov     rax, [rbp+var_8]
0x5ffL,mov     rsi, rdx
0x602L,mov     rdi, rax
0x605L,call    get_version
0x60aL,jmp     short locret_623
0x60cL,mov     edi, offset name; "VERSION_CONTROL"
0x611L,call    getenv
0x616L,mov     rsi, rax
0x619L,mov     edi, offset aVersion_cont_0; "$VERSION_CONTROL"
0x61eL,call    get_version
0x623L,leave
0x624L,retn
0x0L,push    rbp
0x1L,mov     rbp, rsp
0x4L,mov     eax, edi
0x6L,mov     [rbp+var_4], al
0x9L,movzx   eax, [rbp+var_4]
0xdL,pop     rbp
0xeL,retn
0xfL,push    rbp
0x10L,mov     rbp, rsp
0x13L,push    r12
0x15L,push    rbx
0x16L,sub     rsp, 20h
0x1aL,mov     [rbp+var_18], rdi
0x1eL,mov     [rbp+var_20], rsi
0x22L,mov     [rbp+var_28], rdx
0x26L,mov     [rbp+var_30], rcx
0x2aL,jmp     loc_1CE
0x2fL,mov     rbx, [rbp+var_28]
0x33L,lea     rax, [rbx+1]
0x37L,mov     [rbp+var_28], rax
0x3bL,mov     rax, [rbp+var_18]
0x3fL,movzx   eax, byte ptr [rax]
0x42L,movsx   eax, al
0x45L,mov     edi, eax
0x47L,call    to_uchar
0x4cL,shr     al, 2
0x4fL,movzx   eax, al
0x52L,and     eax, 3Fh
0x55L,cdqe
0x57L,movzx   eax, ds:b64str_2570[rax]
0x5eL,mov     [rbx], al
0x60L,sub     [rbp+var_30], 1
0x65L,cmp     [rbp+var_30], 0
0x6aL,jz      loc_1E2
0x70L,mov     rbx, [rbp+var_28]
0x74L,lea     rax, [rbx+1]
0x78L,mov     [rbp+var_28], rax
0x7cL,mov     rax, [rbp+var_18]
0x80L,movzx   eax, byte ptr [rax]
0x83L,movsx   eax, al
0x86L,mov     edi, eax
0x88L,call    to_uchar
0x8dL,movzx   eax, al
0x90L,shl     eax, 4
0x93L,mov     r12d, eax
0x96L,sub     [rbp+var_20], 1
0x9bL,cmp     [rbp+var_20], 0
0xa0L,jz      short loc_BF
0xa2L,mov     rax, [rbp+var_18]
0xa6L,add     rax, 1
0xaaL,movzx   eax, byte ptr [rax]
0xadL,movsx   eax, al
0xb0L,mov     edi, eax
0xb2L,call    to_uchar
0xb7L,shr     al, 4
0xbaL,movzx   eax, al
0xbdL,jmp     short loc_C4
0xbfL,mov     eax, 0
0xc4L,add     eax, r12d
0xc7L,and     eax, 3Fh
0xcaL,cdqe
0xccL,movzx   eax, ds:b64str_2570[rax]
0xd3L,mov     [rbx], al
0xd5L,sub     [rbp+var_30], 1
0xdaL,cmp     [rbp+var_30], 0
0xdfL,jz      loc_1E5
0xe5L,mov     rbx, [rbp+var_28]
0xe9L,lea     rax, [rbx+1]
0xedL,mov     [rbp+var_28], rax
0xf1L,cmp     [rbp+var_20], 0
0xf6L,jz      short loc_157
0xf8L,mov     rax, [rbp+var_18]
0xfcL,add     rax, 1
0x100L,movzx   eax, byte ptr [rax]
0x103L,movsx   eax, al
0x106L,mov     edi, eax
0x108L,call    to_uchar
0x10dL,movzx   eax, al
0x110L,lea     r12d, ds:0[rax*4]
0x118L,sub     [rbp+var_20], 1
0x11dL,cmp     [rbp+var_20], 0
0x122L,jz      short loc_141
0x124L,mov     rax, [rbp+var_18]
0x128L,add     rax, 2
0x12cL,movzx   eax, byte ptr [rax]
0x12fL,movsx   eax, al
0x132L,mov     edi, eax
0x134L,call    to_uchar
0x139L,shr     al, 6
0x13cL,movzx   eax, al
0x13fL,jmp     short loc_146
0x141L,mov     eax, 0
0x146L,add     eax, r12d
0x149L,and     eax, 3Fh
0x14cL,cdqe
0x14eL,movzx   eax, ds:b64str_2570[rax]
0x155L,jmp     short loc_15C
0x157L,mov     eax, 3Dh ; '='
0x15cL,mov     [rbx], al
0x15eL,sub     [rbp+var_30], 1
0x163L,cmp     [rbp+var_30], 0
0x168L,jz      short loc_1E8
0x16aL,mov     rbx, [rbp+var_28]
0x16eL,lea     rax, [rbx+1]
0x172L,mov     [rbp+var_28], rax
0x176L,cmp     [rbp+var_20], 0
0x17bL,jz      short loc_1A3
0x17dL,mov     rax, [rbp+var_18]
0x181L,add     rax, 2
0x185L,movzx   eax, byte ptr [rax]
0x188L,movsx   eax, al
0x18bL,mov     edi, eax
0x18dL,call    to_uchar
0x192L,movzx   eax, al
0x195L,and     eax, 3Fh
0x198L,cdqe
0x19aL,movzx   eax, ds:b64str_2570[rax]
0x1a1L,jmp     short loc_1A8
0x1a3L,mov     eax, 3Dh ; '='
0x1a8L,mov     [rbx], al
0x1aaL,sub     [rbp+var_30], 1
0x1afL,cmp     [rbp+var_30], 0
0x1b4L,jz      short loc_1EB
0x1b6L,cmp     [rbp+var_20], 0
0x1bbL,jz      short loc_1C2
0x1bdL,sub     [rbp+var_20], 1
0x1c2L,cmp     [rbp+var_20], 0
0x1c7L,jz      short loc_1CE
0x1c9L,add     [rbp+var_18], 3
0x1ceL,cmp     [rbp+var_20], 0
0x1d3L,jz      short loc_1EC
0x1d5L,cmp     [rbp+var_30], 0
0x1daL,jnz     loc_2F
0x1e0L,jmp     short loc_1EC
0x1e2L,nop
0x1e3L,jmp     short loc_1EC
0x1e5L,nop
0x1e6L,jmp     short loc_1EC
0x1e8L,nop
0x1e9L,jmp     short loc_1EC
0x1ebL,nop
0x1ecL,cmp     [rbp+var_30], 0
0x1f1L,jz      short loc_1FA
0x1f3L,mov     rax, [rbp+var_28]
0x1f7L,mov     byte ptr [rax], 0
0x1faL,nop
0x1fbL,add     rsp, 20h
0x1ffL,pop     rbx
0x200L,pop     r12
0x202L,pop     rbp
0x203L,retn
0x204L,push    rbp
0x205L,mov     rbp, rsp
0x208L,sub     rsp, 30h
0x20cL,mov     [rbp+var_18], rdi
0x210L,mov     [rbp+var_20], rsi
0x214L,mov     [rbp+var_28], rdx
0x218L,mov     rax, [rbp+var_20]
0x21cL,add     rax, 2
0x220L,mov     rdx, 0AAAAAAAAAAAAAAABh
0x22aL,mul     rdx
0x22dL,mov     rax, rdx
0x230L,shr     rax, 1
0x233L,shl     rax, 2
0x237L,add     rax, 1
0x23bL,mov     [rbp+size], rax
0x23fL,mov     rax, [rbp+var_20]
0x243L,cmp     rax, [rbp+size]
0x247L,jbe     short loc_25B
0x249L,mov     rax, [rbp+var_28]
0x24dL,mov     qword ptr [rax], 0
0x254L,mov     eax, 0
0x259L,jmp     short locret_2A6
0x25bL,mov     rax, [rbp+size]
0x25fL,mov     rdi, rax        ; size
0x262L,call    malloc
0x267L,mov     rdx, rax
0x26aL,mov     rax, [rbp+var_28]
0x26eL,mov     [rax], rdx
0x271L,mov     rax, [rbp+var_28]
0x275L,mov     rax, [rax]
0x278L,test    rax, rax
0x27bL,jnz     short loc_283
0x27dL,mov     rax, [rbp+size]
0x281L,jmp     short locret_2A6
0x283L,mov     rax, [rbp+var_28]
0x287L,mov     rdx, [rax]
0x28aL,mov     rcx, [rbp+size]
0x28eL,mov     rsi, [rbp+var_20]
0x292L,mov     rax, [rbp+var_18]
0x296L,mov     rdi, rax
0x299L,call    base64_encode
0x29eL,mov     rax, [rbp+size]
0x2a2L,sub     rax, 1
0x2a6L,leave
0x2a7L,retn
0x2a8L,push    rbp
0x2a9L,mov     rbp, rsp
0x2acL,sub     rsp, 8
0x2b0L,mov     eax, edi
0x2b2L,mov     [rbp+var_4], al
0x2b5L,movsx   eax, [rbp+var_4]
0x2b9L,mov     edi, eax
0x2bbL,call    to_uchar
0x2c0L,movzx   eax, al
0x2c3L,cdqe
0x2c5L,movzx   eax, ds:b64[rax]
0x2ccL,not     eax
0x2ceL,shr     al, 7
0x2d1L,leave
0x2d2L,retn
0x2d3L,push    rbp
0x2d4L,mov     rbp, rsp
0x2d7L,push    r12
0x2d9L,push    rbx
0x2daL,sub     rsp, 30h
0x2deL,mov     [rbp+var_28], rdi
0x2e2L,mov     [rbp+var_30], rsi
0x2e6L,mov     [rbp+var_38], rdx
0x2eaL,mov     [rbp+var_40], rcx
0x2eeL,mov     rax, [rbp+var_40]
0x2f2L,mov     rax, [rax]
0x2f5L,mov     [rbp+var_18], rax
0x2f9L,jmp     loc_525
0x2feL,mov     rax, [rbp+var_28]
0x302L,movzx   eax, byte ptr [rax]
0x305L,movsx   eax, al
0x308L,mov     edi, eax
0x30aL,call    isbase64
0x30fL,xor     eax, 1
0x312L,test    al, al
0x314L,jnz     loc_53F
0x31aL,mov     rax, [rbp+var_28]
0x31eL,add     rax, 1
0x322L,movzx   eax, byte ptr [rax]
0x325L,movsx   eax, al
0x328L,mov     edi, eax
0x32aL,call    isbase64
0x32fL,xor     eax, 1
0x332L,test    al, al
0x334L,jnz     loc_53F
0x33aL,cmp     [rbp+var_18], 0
0x33fL,jz      short loc_3A1
0x341L,mov     rbx, [rbp+var_38]
0x345L,lea     rax, [rbx+1]
0x349L,mov     [rbp+var_38], rax
0x34dL,mov     rax, [rbp+var_28]
0x351L,movzx   eax, byte ptr [rax]
0x354L,movsx   eax, al
0x357L,mov     edi, eax
0x359L,call    to_uchar
0x35eL,movzx   eax, al
0x361L,cdqe
0x363L,movzx   eax, ds:b64[rax]
0x36aL,movsx   eax, al
0x36dL,shl     eax, 2
0x370L,mov     r12d, eax
0x373L,mov     rax, [rbp+var_28]
0x377L,add     rax, 1
0x37bL,movzx   eax, byte ptr [rax]
0x37eL,movsx   eax, al
0x381L,mov     edi, eax
0x383L,call    to_uchar
0x388L,movzx   eax, al
0x38bL,cdqe
0x38dL,movzx   eax, ds:b64[rax]
0x394L,sar     al, 4
0x397L,or      eax, r12d
0x39aL,mov     [rbx], al
0x39cL,sub     [rbp+var_18], 1
0x3a1L,cmp     [rbp+var_30], 2
0x3a6L,jz      loc_532
0x3acL,mov     rax, [rbp+var_28]
0x3b0L,add     rax, 2
0x3b4L,movzx   eax, byte ptr [rax]
0x3b7L,cmp     al, 3Dh ; '='
0x3b9L,jnz     short loc_3DE
0x3bbL,cmp     [rbp+var_30], 4
0x3c0L,jnz     loc_535
0x3c6L,mov     rax, [rbp+var_28]
0x3caL,add     rax, 3
0x3ceL,movzx   eax, byte ptr [rax]
0x3d1L,cmp     al, 3Dh ; '='
0x3d3L,jz      loc_51B
0x3d9L,jmp     loc_53F
0x3deL,mov     rax, [rbp+var_28]
0x3e2L,add     rax, 2
0x3e6L,movzx   eax, byte ptr [rax]
0x3e9L,movsx   eax, al
0x3ecL,mov     edi, eax
0x3eeL,call    isbase64
0x3f3L,xor     eax, 1
0x3f6L,test    al, al
0x3f8L,jnz     loc_538
0x3feL,cmp     [rbp+var_18], 0
0x403L,jz      short loc_469
0x405L,mov     rbx, [rbp+var_38]
0x409L,lea     rax, [rbx+1]
0x40dL,mov     [rbp+var_38], rax
0x411L,mov     rax, [rbp+var_28]
0x415L,add     rax, 1
0x419L,movzx   eax, byte ptr [rax]
0x41cL,movsx   eax, al
0x41fL,mov     edi, eax
0x421L,call    to_uchar
0x426L,movzx   eax, al
0x429L,cdqe
0x42bL,movzx   eax, ds:b64[rax]
0x432L,movsx   eax, al
0x435L,shl     eax, 4
0x438L,mov     r12d, eax
0x43bL,mov     rax, [rbp+var_28]
0x43fL,add     rax, 2
0x443L,movzx   eax, byte ptr [rax]
0x446L,movsx   eax, al
0x449L,mov     edi, eax
0x44bL,call    to_uchar
0x450L,movzx   eax, al
0x453L,cdqe
0x455L,movzx   eax, ds:b64[rax]
0x45cL,sar     al, 2
0x45fL,or      eax, r12d
0x462L,mov     [rbx], al
0x464L,sub     [rbp+var_18], 1
0x469L,cmp     [rbp+var_30], 3
0x46eL,jz      loc_53B
0x474L,mov     rax, [rbp+var_28]
0x478L,add     rax, 3
0x47cL,movzx   eax, byte ptr [rax]
0x47fL,cmp     al, 3Dh ; '='
0x481L,jnz     short loc_493
0x483L,cmp     [rbp+var_30], 4
0x488L,jz      loc_51B
0x48eL,jmp     loc_53F
0x493L,mov     rax, [rbp+var_28]
0x497L,add     rax, 3
0x49bL,movzx   eax, byte ptr [rax]
0x49eL,movsx   eax, al
0x4a1L,mov     edi, eax
0x4a3L,call    isbase64
0x4a8L,xor     eax, 1
0x4abL,test    al, al
0x4adL,jnz     loc_53E
0x4b3L,cmp     [rbp+var_18], 0
0x4b8L,jz      short loc_51B
0x4baL,mov     rbx, [rbp+var_38]
0x4beL,lea     rax, [rbx+1]
0x4c2L,mov     [rbp+var_38], rax
0x4c6L,mov     rax, [rbp+var_28]
0x4caL,add     rax, 2
0x4ceL,movzx   eax, byte ptr [rax]
0x4d1L,movsx   eax, al
0x4d4L,mov     edi, eax
0x4d6L,call    to_uchar
0x4dbL,movzx   eax, al
0x4deL,cdqe
0x4e0L,movzx   eax, ds:b64[rax]
0x4e7L,movsx   eax, al
0x4eaL,shl     eax, 6
0x4edL,mov     r12d, eax
0x4f0L,mov     rax, [rbp+var_28]
0x4f4L,add     rax, 3
0x4f8L,movzx   eax, byte ptr [rax]
0x4fbL,movsx   eax, al
0x4feL,mov     edi, eax
0x500L,call    to_uchar
0x505L,movzx   eax, al
0x508L,cdqe
0x50aL,movzx   eax, ds:b64[rax]
0x511L,or      eax, r12d
0x514L,mov     [rbx], al
0x516L,sub     [rbp+var_18], 1
0x51bL,add     [rbp+var_28], 4
0x520L,sub     [rbp+var_30], 4
0x525L,cmp     [rbp+var_30], 1
0x52aL,ja      loc_2FE
0x530L,jmp     short loc_53F
0x532L,nop
0x533L,jmp     short loc_53F
0x535L,nop
0x536L,jmp     short loc_53F
0x538L,nop
0x539L,jmp     short loc_53F
0x53bL,nop
0x53cL,jmp     short loc_53F
0x53eL,nop
0x53fL,mov     rax, [rbp+var_40]
0x543L,mov     rax, [rax]
0x546L,sub     rax, [rbp+var_18]
0x54aL,mov     rdx, rax
0x54dL,mov     rax, [rbp+var_40]
0x551L,mov     [rax], rdx
0x554L,cmp     [rbp+var_30], 0
0x559L,jz      short loc_562
0x55bL,mov     eax, 0
0x560L,jmp     short loc_567
0x562L,mov     eax, 1
0x567L,add     rsp, 30h
0x56bL,pop     rbx
0x56cL,pop     r12
0x56eL,pop     rbp
0x56fL,retn
0x570L,push    rbp
0x571L,mov     rbp, rsp
0x574L,sub     rsp, 30h
0x578L,mov     [rbp+var_18], rdi
0x57cL,mov     [rbp+var_20], rsi
0x580L,mov     [rbp+var_28], rdx
0x584L,mov     [rbp+var_30], rcx
0x588L,mov     rax, [rbp+var_20]
0x58cL,shr     rax, 2
0x590L,mov     rdx, rax
0x593L,mov     rax, rdx
0x596L,add     rax, rax
0x599L,add     rax, rdx
0x59cL,add     rax, 2
0x5a0L,mov     [rbp+size], rax
0x5a4L,mov     rax, [rbp+size]
0x5a8L,mov     rdi, rax        ; size
0x5abL,call    malloc
0x5b0L,mov     rdx, rax
0x5b3L,mov     rax, [rbp+var_28]
0x5b7L,mov     [rax], rdx
0x5baL,mov     rax, [rbp+var_28]
0x5beL,mov     rax, [rax]
0x5c1L,test    rax, rax
0x5c4L,jnz     short loc_5CD
0x5c6L,mov     eax, 1
0x5cbL,jmp     short locret_627
0x5cdL,mov     rax, [rbp+var_28]
0x5d1L,mov     rdx, [rax]
0x5d4L,lea     rcx, [rbp+size]
0x5d8L,mov     rsi, [rbp+var_20]
0x5dcL,mov     rax, [rbp+var_18]
0x5e0L,mov     rdi, rax
0x5e3L,call    base64_decode
0x5e8L,xor     eax, 1
0x5ebL,test    al, al
0x5edL,jz      short loc_610
0x5efL,mov     rax, [rbp+var_28]
0x5f3L,mov     rax, [rax]
0x5f6L,mov     rdi, rax        ; ptr
0x5f9L,call    free
0x5feL,mov     rax, [rbp+var_28]
0x602L,mov     qword ptr [rax], 0
0x609L,mov     eax, 0
0x60eL,jmp     short locret_627
0x610L,cmp     [rbp+var_30], 0
0x615L,jz      short loc_622
0x617L,mov     rdx, [rbp+size]
0x61bL,mov     rax, [rbp+var_30]
0x61fL,mov     [rax], rdx
0x622L,mov     eax, 1
0x627L,leave
0x628L,retn
0x0L,push    rbp
0x1L,mov     rbp, rsp
0x4L,mov     [rbp+var_28], rdi
0x8L,mov     rax, [rbp+var_28]
0xcL,mov     [rbp+var_8], rax
0x10L,mov     [rbp+var_11], 0
0x14L,jmp     short loc_1B
0x16L,add     [rbp+var_8], 1
0x1bL,mov     rax, [rbp+var_8]
0x1fL,movzx   eax, byte ptr [rax]
0x22L,cmp     al, 2Fh ; '/'
0x24L,jz      short loc_16
0x26L,mov     rax, [rbp+var_8]
0x2aL,mov     [rbp+var_10], rax
0x2eL,jmp     short loc_58
0x30L,mov     rax, [rbp+var_10]
0x34L,movzx   eax, byte ptr [rax]
0x37L,cmp     al, 2Fh ; '/'
0x39L,jnz     short loc_41
0x3bL,mov     [rbp+var_11], 1
0x3fL,jmp     short loc_53
0x41L,cmp     [rbp+var_11], 0
0x45L,jz      short loc_53
0x47L,mov     rax, [rbp+var_10]
0x4bL,mov     [rbp+var_8], rax
0x4fL,mov     [rbp+var_11], 0
0x53L,add     [rbp+var_10], 1
0x58L,mov     rax, [rbp+var_10]
0x5cL,movzx   eax, byte ptr [rax]
0x5fL,test    al, al
0x61L,jnz     short loc_30
0x63L,mov     rax, [rbp+var_8]
0x67L,pop     rbp
0x68L,retn
0x69L,push    rbp
0x6aL,mov     rbp, rsp
0x6dL,sub     rsp, 20h
0x71L,mov     [rbp+var_18], rdi
0x75L,mov     rax, [rbp+var_18]
0x79L,mov     rdi, rax
0x7cL,call    last_component
0x81L,mov     [rbp+var_10], rax
0x85L,mov     rax, [rbp+var_10]
0x89L,movzx   eax, byte ptr [rax]
0x8cL,test    al, al
0x8eL,jnz     short loc_B0
0x90L,mov     rax, [rbp+var_18]
0x94L,mov     rdi, rax
0x97L,call    base_len
0x9cL,mov     rdx, rax
0x9fL,mov     rax, [rbp+var_18]
0xa3L,mov     rsi, rdx
0xa6L,mov     rdi, rax
0xa9L,call    xstrndup
0xaeL,jmp     short locret_EA
0xb0L,mov     rax, [rbp+var_10]
0xb4L,mov     rdi, rax
0xb7L,call    base_len
0xbcL,mov     [rbp+var_8], rax
0xc0L,mov     rdx, [rbp+var_10]
0xc4L,mov     rax, [rbp+var_8]
0xc8L,add     rax, rdx
0xcbL,movzx   eax, byte ptr [rax]
0xceL,cmp     al, 2Fh ; '/'
0xd0L,jnz     short loc_D7
0xd2L,add     [rbp+var_8], 1
0xd7L,mov     rdx, [rbp+var_8]
0xdbL,mov     rax, [rbp+var_10]
0xdfL,mov     rsi, rdx
0xe2L,mov     rdi, rax
0xe5L,call    xstrndup
0xeaL,leave
0xebL,retn
0xecL,push    rbp
0xedL,mov     rbp, rsp
0xf0L,sub     rsp, 20h
0xf4L,mov     [rbp+s], rdi
0xf8L,mov     [rbp+var_10], 0
0x100L,mov     rax, [rbp+s]
0x104L,mov     rdi, rax        ; s
0x107L,call    strlen
0x10cL,mov     [rbp+var_8], rax
0x110L,jmp     short loc_117
0x112L,sub     [rbp+var_8], 1
0x117L,cmp     [rbp+var_8], 1
0x11cL,jbe     short loc_134
0x11eL,mov     rax, [rbp+var_8]
0x122L,lea     rdx, [rax-1]
0x126L,mov     rax, [rbp+s]
0x12aL,add     rax, rdx
0x12dL,movzx   eax, byte ptr [rax]
0x130L,cmp     al, 2Fh ; '/'
0x132L,jz      short loc_112
0x134L,mov     rax, [rbp+var_8]
0x138L,leave
0x139L,retn
0x0L,push    rbp
0x1L,mov     rbp, rsp
0x4L,mov     [rbp+var_38], rdi
0x8L,mov     [rbp+var_40], rsi
0xcL,mov     [rbp+var_48], rdx
0x10L,cmp     [rbp+var_38], 0
0x15L,jnz     short loc_32
0x17L,cmp     [rbp+var_40], 0
0x1cL,jz      short loc_24
0x1eL,mov     rax, [rbp+var_40]
0x22L,jmp     short loc_29
0x24L,mov     eax, 2000h
0x29L,mov     [rbp+var_8], rax
0x2dL,jmp     loc_BC
0x32L,cmp     [rbp+var_40], 0
0x37L,jz      short loc_B4
0x39L,mov     rax, [rbp+var_38]
0x3dL,mov     [rbp+var_10], rax
0x41L,mov     rax, [rbp+var_40]
0x45L,mov     [rbp+var_18], rax
0x49L,jmp     short loc_5B
0x4bL,mov     rax, [rbp+var_18]
0x4fL,mov     [rbp+var_10], rax
0x53L,mov     rax, [rbp+var_20]
0x57L,mov     [rbp+var_18], rax
0x5bL,mov     rax, [rbp+var_10]
0x5fL,mov     edx, 0
0x64L,div     [rbp+var_18]
0x68L,mov     [rbp+var_20], rdx
0x6cL,cmp     [rbp+var_20], 0
0x71L,jnz     short loc_4B
0x73L,mov     rax, [rbp+var_38]
0x77L,mov     edx, 0
0x7cL,div     [rbp+var_18]
0x80L,mov     [rbp+var_28], rax
0x84L,mov     rax, [rbp+var_28]
0x88L,imul    rax, [rbp+var_40]
0x8dL,mov     [rbp+var_30], rax
0x91L,mov     rax, [rbp+var_30]
0x95L,cmp     rax, [rbp+var_48]
0x99L,ja      short loc_B4
0x9bL,mov     rax, [rbp+var_30]
0x9fL,mov     edx, 0
0xa4L,div     [rbp+var_40]
0xa8L,cmp     rax, [rbp+var_28]
0xacL,jnz     short loc_B4
0xaeL,mov     rax, [rbp+var_30]
0xb2L,jmp     short loc_C9
0xb4L,mov     rax, [rbp+var_38]
0xb8L,mov     [rbp+var_8], rax
0xbcL,mov     rax, [rbp+var_48]
0xc0L,cmp     [rbp+var_8], rax
0xc4L,cmovbe  rax, [rbp+var_8]
0xc9L,pop     rbp
0xcaL,retn
0x0L,push    rbp
0x1L,mov     rbp, rsp
0x4L,sub     rsp, 20h
0x8L,mov     [rbp+nptr], rdi
0xcL,mov     [rbp+endptr], rsi
0x10L,mov     edx, 0          ; base
0x15L,mov     esi, offset locale; "C"
0x1aL,mov     edi, 1FBFh      ; category_mask
0x1fL,call    newlocale
